id,text,total,SURFACE_UNIT,DIRECTION,VRC,LCover,LProcess,DATE,CARDINAL,GPE,PERCENT,ORDINAL
1-s2.0-S235198941500102X-main.pdf.tei_5,From 1984 to 2001 tree savannas bare soils and agricultural lands increased by 17.55% 18.79% and 21778.79% respectively while woodland gallery forest shrub savannas and water bodies decreased by 22.02% 5.03% 40.08% and 31.2% respectively,16,0,0,2,6,1,1,0,0,6,0
1-s2.0-S0264837715302131-main.pdf.tei_76,Assuming the dynamics recorded in the second period 1990 2010 the amounts of land covered by forest woodland and tree savanna will decrease by 5 9 and 17% of their cover in 1990 respectively while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area respectively,13,0,0,2,5,0,3,1,0,2,0
1-s2.0-S235198941500102X-main.pdf.tei_69,The decrease in woodland shrub savannas grass savannas and water body occurred mainly between 1984 and 2001 while tree savannas and gallery forest decreased mainly between 2001 and 2013,11,0,0,2,6,0,2,0,1,0,0
1-s2.0-S0264837715302131-main.pdf.tei_104,About 26 and 31% of the total area of natural vegetation forest woodland and tree savanna will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990 2010 respectively,10,0,0,0,4,0,4,1,0,1,0
1-s2.0-S030438781000043X-mainext.pdf.tei_61_pt2,Ratios of fallow to cultivated area are 0.8 in Woure where the bushfallow system is already defunct 1.6 in Silgey and Kolbila where bush fallow would lead to a steady decline in fertility 2 in Koho where bush fallow is marginal and 5 in Sayero where available land is still more than adequate.,9,0,0,0,3,0,0,4,2,0,0
1-s2.0-S0140196313000608-main.pdf.tei_97,In a small Sahelian catchment in Niger the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land from 7 to 16% at the expense of the savanna,9,0,1,2,1,0,2,1,1,1,0
1-s2.0-S016788090800131X-main.pdf.tei_13,Recently obtained a deforestation rate of 11% in the grassland areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984 1999 which has a similar ecological zone as the southern Burkina Faso,8,0,2,0,1,1,1,0,1,2,0
1-s2.0-S0264837715302131-main.pdf.tei_6,In the period 1975 1990 1.28 million ha 26% of natural vegetation was converted to degraded savanna and farmland while 2.23 million ha 53% of natural vegetation was converted to degraded savanna and farmland in the period 1990 2010,8,0,0,0,2,0,2,2,0,2,0
1-s2.0-S0140196322000143-main.pdf.tei_48,. From 1996 to 2017 the area covered by cropped fields C has increased from 40% to 51.3% over the study site area and from 47% to 64% of the arable lands in the study site due to the loss fallows,8,0,0,1,3,0,1,0,0,3,0
1-s2.0-S000632071100245X-main.pdf.tei_4,In fact some NTFP providing trees such as the baobab Adansonia digitata and the shea tree Vitellaria paradoxa are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved,6,0,0,0,3,2,0,0,1,0,0
